75,No Assessment,Rideshare Drivers United - LA,en,90016,8/17/2024 17:52
76,No Assessment,Rideshare Drivers United - LA,en,90016,6/4/2025 21:01
77,No Assessment,Rideshare Drivers United - LA,en,90016,6/12/2025 0:06
78,Supporter,Rideshare Drivers United - LA,en,90016,12/25/2019 11:54
79,No Assessment,Rideshare Drivers United - LA,en,90017,10/5/2024 4:24
80,No Assessment,Rideshare Drivers United - LA,ko,90017,3/29/2025 23:14
81,No Assessment,Rideshare Drivers United - LA,en,90017,4/1/2025 13:58
82,No Assessment,Rideshare Drivers United - LA,en,90017,5/14/2025 16:48
83,Supporter,Rideshare Drivers United - LA,en,90017,3/21/2019 19:17
84,Activist,Rideshare Drivers United - LA,en,90018,12/16/2018 8:13
85,Activist,Rideshare Drivers United - LA,en,90018,3/11/2019 16:55
86,Activist,Rideshare Drivers United - LA,es,90018,3/27/2019 16:19
87,Activist,Rideshare Drivers United - LA,es,90018,12/13/2022 20:41
88,No Assessment,Rideshare Drivers United - LA,en,90018,10/29/2019 21:48
89,No Assessment,Rideshare Drivers United - LA,es,90018,4/12/2025 18:22
90,No Assessment,Rideshare Drivers United - LA,en,90018,5/22/2025 14:40
91,Supporter,Rideshare Drivers United - LA,en,90018,2/14/2025 11:54
92,Activist,Rideshare Drivers United - LA,en,90019,3/9/2022 13:59
93,Activist,Rideshare Drivers United - LA,en,90019,6/8/2022 9:59
94,Disengaged,Rideshare Drivers United - LA,es,90019,1/13/2020 18:08
95,No Assessment,Rideshare Drivers United - LA,ko,90019,4/17/2019 19:47
96,No Assessment,Rideshare Drivers United - LA,es,90019,7/11/2019 1:39
97,No Assessment,Rideshare Drivers United - LA,ko,90019,1/18/2023 18:26
98,No Assessment,Rideshare Drivers United - LA,en,90019,5/17/2024 12:53
99,No Assessment,Rideshare Drivers United - LA,es,90019,4/3/2025 10:32
100,No Assessment,Rideshare Drivers United - LA,es,90019,4/4/2025 15:08
101,Supporter,Rideshare Drivers United - LA,en,90019,3/27/2019 6:54
102,Activist,Rideshare Drivers United - LA,en,90020,3/26/2025 19:50
103,No Assessment,Rideshare Drivers United - LA,en,90020,3/25/2019 21:16
104,No Assessment,Rideshare Drivers United - LA,ko,90020,3/27/2020 10:27
105,No Assessment,Rideshare Drivers United - LA,ko,90020,8/6/2020 18:15
106,No Assessment,Rideshare Drivers United - LA,en,90020,1/2/2024 22:03
107,No Assessment,Rideshare Drivers United - LA,en,90020,5/29/2025 10:57
108,Potential Core,Rideshare Drivers United - LA,en,90020,8/18/2024 12:34
109,Supporter,Rideshare Drivers United - LA,ko,90020,11/3/2023 15:35
110,Disengaged,Rideshare Drivers United - LA,en,90021,4/15/2025 12:13
111,Activist,Rideshare Drivers United - LA,es,90022,4/1/2020 16:07
112,No Assessment,Rideshare Drivers United - LA,en,90022,1/4/2018 2:52
113,No Assessment,Rideshare Drivers United - LA,en,90022,5/9/2019 11:09
114,No Assessment,Rideshare Drivers United - LA,en,90022,2/25/2025 8:49
115,No Assessment,Rideshare Drivers United - LA,en,90022,6/4/2025 22:31
116,Potential Core,Rideshare Drivers United - LA,es,90022,3/1/2018 15:37
117,Supporter,Rideshare Drivers United - LA,en,90022,4/8/2019 22:27
118,Activist,Rideshare Drivers United - LA,es,90023,4/15/2019 17:28
119,Activist,Rideshare Drivers United - LA,es,90023,3/19/2020 17:58
120,No Assessment,Rideshare Drivers United - LA,en,90023,5/15/2024 13:16
121,Supporter,Rideshare Drivers United - LA,es,90023,11/19/2018 10:27
122,Disengaged,Rideshare Drivers United - LA,en,90025,4/22/2019 20:41
123,No Assessment,Rideshare Drivers United - LA,ko,90025,5/3/2019 9:07
124,No Assessment,Rideshare Drivers United - LA,en,90025,2/25/2023 21:05
125,No Assessment,Rideshare Drivers United - LA,en,90025,8/20/2024 14:53
126,Supporter,Rideshare Drivers United - LA,en,90025,2/17/2024 1:16
127,Activist,Rideshare Drivers United - LA,en,90026,10/12/2022 2:20
128,No Assessment,Rideshare Drivers United - LA,en,90026,3/4/2019 21:20
129,Supporter,Rideshare Drivers United - LA,en,90026,3/27/2019 12:59
130,Activist,Rideshare Drivers United - LA,en,90027,3/17/2018 21:04
131,Activist,Rideshare Drivers United - LA,en,90027,5/8/2019 15:19
132,Activist,Rideshare Drivers United - LA,en,90027,8/17/2024 10:02
133,No Assessment,Rideshare Drivers United - LA,en,90027,11/29/2019 10:25
134,No Assessment,Rideshare Drivers United - LA,ru,90027,5/22/2025 16:55
135,Potential Core,Rideshare Drivers United - LA,en,90027,4/16/2020 22:46
136,Supporter,Rideshare Drivers United - LA,en,90027,3/23/2019 11:55
137,Supporter,Rideshare Drivers United - LA,en,90027,6/11/2020 19:29
138,No Assessment,Rideshare Drivers United - LA,en,90028,10/29/2019 21:13
139,No Assessment,Rideshare Drivers United - LA,en,90028,1/29/2022 18:12
140,No Assessment,Rideshare Drivers United - LA,en,90028,9/24/2024 16:45
141,No Assessment,Rideshare Drivers United - LA,en,90028,3/27/2025 20:53
142,Potential Core,Rideshare Drivers United - LA,en,90028,3/26/2019 17:33
143,Supporter,Rideshare Drivers United - LA,en,90028,11/26/2017 15:41
144,Supporter,Rideshare Drivers United - LA,en,90028,3/18/2020 19:35
145,Activist,Rideshare Drivers United - LA,en,90029,4/6/2019 23:34
146,No Assessment,Rideshare Drivers United - LA,es,90029,9/21/2019 22:08
147,No Assessment,Rideshare Drivers United - LA,en,90029,4/23/2025 1:02
148,No Assessment,Rideshare Drivers United - LA,es,90029,4/27/2025 12:14
149,Activist,Rideshare Drivers United - LA,en,90031,12/20/2018 12:15
150,Activist,Rideshare Drivers United - LA,es,90031,1/18/2019 9:02
151,Activist,Rideshare Drivers United - LA,en,90031,5/13/2020 11:39
152,Activist,Rideshare Drivers United - LA,en,90031,4/29/2024 19:35
153,No Assessment,Rideshare Drivers United - LA,en,90031,3/16/2020 17:58
154,Supporter,Rideshare Drivers United - LA,en,90031,9/20/2019 11:36
155,Supporter,Rideshare Drivers United - LA,es,90031,5/14/2024 18:26
156,Supporter,Rideshare Drivers United - LA,en,90031,10/24/2024 12:07
157,No Assessment,Rideshare Drivers United - LA,en,90032,4/15/2025 12:36
158,No Assessment,Rideshare Drivers United - LA,es,90032,5/18/2025 19:50
159,No Assessment,Rideshare Drivers United - LA,en,90032,5/18/2025 19:54
160,Potential Core,Rideshare Drivers United - LA,es,90032,10/3/2019 11:11
161,Supporter,Rideshare Drivers United - LA,es,90032,9/29/2018 12:40
162,Activist,Rideshare Drivers United - LA,es,90033,12/22/2018 14:01
163,Activist,Rideshare Drivers United - LA,en,90033,1/15/2019 4:09
164,No Assessment,Rideshare Drivers United - LA,en,90033,3/31/2019 9:11
165,Potential Core,Rideshare Drivers United - LA,es,90033,6/5/2019 9:34
166,Supporter,Rideshare Drivers United - LA,es,90033,10/10/2019 11:10
167,Supporter,Rideshare Drivers United - LA,en,90033,4/4/2020 18:34
168,Supporter,Rideshare Drivers United - LA,es,90033,6/22/2023 22:36
169,Activist,Rideshare Drivers United - LA,en,90034,3/25/2019 17:13
170,Disengaged,Rideshare Drivers United - LA,en,90034,6/3/2019 10:46
171,No Assessment,Rideshare Drivers United - LA,en,90034,4/22/2019 22:33
172,No Assessment,Rideshare Drivers United - LA,en,90034,4/26/2019 11:52
173,No Assessment,Rideshare Drivers United - LA,en,90034,12/24/2024 16:06
174,Activist,Rideshare Drivers United - LA,en,90035,3/31/2025 2:39
175,Supporter,Rideshare Drivers United - LA,en,90035,4/3/2019 17:11
176,Supporter,Rideshare Drivers United - LA,en,90035,3/28/2025 11:42
177,Activist,Rideshare Drivers United - LA,en,90037,1/23/2019 12:40
178,Activist,Rideshare Drivers United - LA,en,90037,5/9/2019 15:02
179,No Assessment,Rideshare Drivers United - LA,en,90037,4/22/2019 21:07
180,No Assessment,Rideshare Drivers United - LA,en,90037,9/3/2019 7:32
181,No Assessment,Rideshare Drivers United - LA,es,90037,8/13/2020 13:23
182,No Assessment,Rideshare Drivers United - LA,en,90037,5/23/2025 4:23
183,Potential Core,Rideshare Drivers United - LA,en,90037,10/30/2021 1:36
184,Supporter,Rideshare Drivers United - LA,es,90037,2/6/2018 22:05
185,Supporter,Rideshare Drivers United - LA,en,90037,6/28/2018 18:09
186,Supporter,Rideshare Drivers United - LA,es,90037,1/27/2020 15:48
187,Activist,Rideshare Drivers United - LA,en,90038,3/12/2019 11:55
188,Disengaged,Rideshare Drivers United - LA,es,90038,12/8/2018 19:43
189,No Assessment,Rideshare Drivers United - LA,,90038,3/17/2020 10:13
190,Supporter,Rideshare Drivers United - LA,en,90038,12/1/2019 13:00
191,Activist,Rideshare Drivers United - LA,en,90039,3/31/2025 23:43
192,No Assessment,Rideshare Drivers United - LA,en,90039,12/26/2018 22:29
193,No Assessment,Rideshare Drivers United - LA,en,90039,10/16/2019 14:50
194,No Assessment,Rideshare Drivers United - LA,en,90039,5/28/2024 19:20
195,Activist,Rideshare Drivers United - LA,en,90040,3/25/2020 2:51
196,Potential Core,Rideshare Drivers United - LA,es,90040,9/10/2019 2:25
197,No Assessment,Rideshare Drivers United - LA,es,90042,6/14/2019 2:52
198,No Assessment,Rideshare Drivers United - LA,en,90042,4/3/2025 16:19
199,No Assessment,Rideshare Drivers United - LA,en,90042,5/18/2025 20:20
200,Potential Core,Rideshare Drivers United - LA,en,90042,3/9/2019 10:03
201,No Assessment,Rideshare Drivers United - LA,en,90043,2/13/2018 7:51
202,No Assessment,Rideshare Drivers United - LA,en,90043,9/7/2024 14:56
203,Potential Core,Rideshare Drivers United - LA,es,90043,9/25/2019 23:09
204,Supporter,Rideshare Drivers United - LA,en,90043,5/10/2025 15:22
205,Activist,Rideshare Drivers United - LA,en,90044,11/21/2024 17:34
206,Disengaged,Rideshare Drivers United - LA,es,90044,5/26/2020 19:07
207,No Assessment,Rideshare Drivers United - LA,en,90044,4/1/2018 14:56
208,No Assessment,Rideshare Drivers United - LA,en,90044,5/5/2019 9:23
209,No Assessment,Rideshare Drivers United - LA,en,90044,3/28/2025 22:36
210,No Assessment,Rideshare Drivers United - LA,es,90044,4/8/2025 12:52
211,No Assessment,Rideshare Drivers United - LA,es,90044,4/20/2025 19:54
